UKPRN,PROVIDER_NAME,DATASET_ITEM_AFFECTED,WEBSITE_SECTION,NUMBER OF COURSES,DATE,NOTES
10003861,Leeds Beckett University,KISCOURSE,All sections,4,07/10/2025,-
10004879,OPEN COLLEGE OF THE ARTS,KISCOURSE,All sections,1,16/10/2025,-
10005337,"Queen Margaret University, Edinburgh",COMMON,Employment 15 months after the course,11,16/10/2025,-
10005337,"Queen Margaret University, Edinburgh",CONTINUATION,After 1 year on the course,15,16/10/2025,-
10005337,"Queen Margaret University, Edinburgh",EMPLOYMENT,Employment 15 months after the course,12,16/10/2025,-
10005337,"Queen Margaret University, Edinburgh",GOVOICEWORK,Graduate perceptions,10,16/10/2025,-
10005337,"Queen Margaret University, Edinburgh",JOBTYPE,Employment 15 months after the course,11,16/10/2025,-
10005337,"Queen Margaret University, Edinburgh",GOSALARY,Earnings after the course,10,16/10/2025,-
10005337,"Queen Margaret University, Edinburgh",KISCOURSE,All sections,18,16/10/2025,-
10005337,"Queen Margaret University, Edinburgh",NSS,Student satisfaction,12,16/10/2025,-
10005337,"Queen Margaret University, Edinburgh",NSSCOUNTRY,Student satisfaction,12,16/10/2025,-
10005337,"Queen Margaret University, Edinburgh",ENTRY,Entry information,5,16/10/2025,-
10005337,"Queen Margaret University, Edinburgh",TARIFF,Entry information,7,16/10/2025,-
10005337,"Queen Margaret University, Edinburgh",NHSNSS,Student satisfaction,1,16/10/2025,-
10007773,The Open University,KISCOURSE,All sections,5,16/10/2025,-
10007807,Ulster University,NHSNSS,Student satisfaction,3,16/10/2025,-
10007807,Ulster University,NSS,Student satisfaction,5,16/10/2025,-
10007807,Ulster University,NSSCOUNTRY,Student satisfaction,4,16/10/2025,-
10007807,Ulster University,COMMON,Employment 15 months after the course,7,16/10/2025,-
10007807,Ulster University,EMPLOYMENT,Employment 15 months after the course,7,16/10/2025,-
10007807,Ulster University,GOVOICEWORK,Graduate perceptions,7,16/10/2025,-
10007807,Ulster University,JOBTYPE,Employment 15 months after the course,7,16/10/2025,-
10007807,Ulster University,GOSALARY,Earnings after the course,6,16/10/2025,-
10007807,Ulster University,ENTRY,Entry information,12,16/10/2025,-
10007807,Ulster University,TARIFF,Entry information,12,16/10/2025,-
10007807,Ulster University,CONTINUATION,After 1 year on the course,2,16/10/2025,-
10007807,Ulster University,KISCOURSE,All sections,16,16/10/2025,-
10031239,LMA,KISCOURSE,All sections,1,16/10/2025,-
10003614,The University of Winchester,KISCOURSE,All sections,1,21/10/2025,-
10004048,London Metropolitan University,KISCOURSE,All sections,118,21/10/2025,-
10007157,The University of Sheffield,KISCOURSE,All sections,16,21/10/2025,-
10087170,QAHE (LM) LIMITED,KISCOURSE,All sections,2,21/10/2025,-
10006427,University for the Creative Arts,KISCOURSE,All sections,12,28/10/2025,-
10007156,The University of Salford,KISCOURSE,All sections,5,28/10/2025,-
10066551,LCCM AU UK LIMITED,KISCOURSE,All sections,2,28/10/2025,-
10005553,Royal Holloway and Bedford New College,KISCOURSE,All sections,16,04/11/2025,-
10007138,The University of Northampton,KISCOURSE,All sections,1,04/11/2025,-
10007148,The University of Huddersfield,KISCOURSE,All sections,2,04/11/2025,-
10007855,Swansea University,KISCOURSE,All sections,36,04/11/2025,-
10007713,York St John University,KISCOURSE,All sections,1,11/11/2025,-
10007760,Birkbeck College,KISCOURSE,All sections,37,11/11/2025,-
10007773,The Open University,KISCOURSE,All sections,1,11/11/2025,-
